Dino Number,Image,Classification,Level,Breeding Charges,Trait Count,Background,Body,Face,Headwear,Eyes,Clothes,Accessory
1354,https://img.dapperdinos.com/dinos/j7yIVzvLbJ58ImU.png,OG,5,5,7,Crisp Green,Green,Tongue,Stars,Hearts,Toga,Sunglasses
1355,https://img.dapperdinos.com/dinos/ungmKwW6lySMK0a.png,OG,5,5,6,Dapper Cyan,Green Spotted,Happy,Bowler Black Emblem,Chill Lashes,Tshirt Black,<none>
1356,https://img.dapperdinos.com/dinos/yGLs6ddqIjrYWH9.png,OG,5,5,6,Spiffy Blue,Teal,Grin,Donut Bonehead,Mask Happy,Suit Grey,<none>
1357,https://img.dapperdinos.com/dinos/uFdQBJsiFUy85fw.png,OG,5,5,6,Snazzy Orange,Grey,Two Tooth Beard,Brain,Cyclops,Polo Tiger,<none>
1358,https://img.dapperdinos.com/dinos/APM244POe6om7ih.png,OG,5,5,5,Dapper Cyan,Yellow Spotted,Happy,King Bonehead,Mask Chill,<none>,<none>
1359,https://img.dapperdinos.com/dinos/s9uyUxzNiqThpMw.png,OG,5,5,7,Crisp Green,Blue,Happy,Bonehead Silver,Blush,Suit Grey,Nosehorn Gold
1360,https://img.dapperdinos.com/dinos/Lf2NCs2jdw9Y3Q0.png,OG,5,5,7,Spiffy Blue,Green,Happy,King,Happy,Polo Teal,Nosehorn Gold
1361,https://img.dapperdinos.com/dinos/2q42jbQMyJ6Jgty.png,OG,5,5,7,Fly Magenta,Teal Spotted,Derpy,Stars,Mask Chill,Toga,3D Glasses
1362,https://img.dapperdinos.com/dinos/HKQuJ6B8KmUuG1z.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Dino Helmet,Bliss,Scarf,<none>
1363,https://img.dapperdinos.com/karmacollective/K522.png,Karma,5,6,7,Bakeroner Green 3,Yellow Spotted,Happy,Pirate Hat,Chill,Flannel,<none>
1364,https://img.dapperdinos.com/dinos/bV4yhzctfB1MFz8.png,OG,5,5,6,Spiffy Blue,Green Spotted,Tongue,Sombrero,Hypno,Suit Dapper Blue,<none>
1365,https://img.dapperdinos.com/dinos/P7jcm7Nu9qhM2D6.png,OG,5,5,6,Dapper Cyan,Green Spotted,Tongue,High Top Fade Stars,Happy,Tracksuit Spotted,<none>
1366,https://img.dapperdinos.com/dinos/A7L5xvDWAYaNWtv.png,OG,5,5,7,Crisp Green,Green,Grin,Horns Broken,Happy,Flannel,Sunglasses
1367,https://img.dapperdinos.com/dinos/JHQb1JK0lviEfDA.png,OG,5,5,7,Nifty Yellow,Charcoal,Happy,King Bonehead,Chill,Cyberpunk Jacket Tshirt,3D Glasses
1368,https://img.dapperdinos.com/dinos/T0QnNhWGyXYIMfx.png,OG,5,5,6,Dapper Cyan,Yellow,Tongue,British,Chill Lashes,Ascot,<none>
1369,https://img.dapperdinos.com/dinos/gyippVMSELRZAh6.png,OG,5,5,5,Dashing Purple,Bubblegum,Bubblegum Split,Spikes Holo,<none>,Suit Grey,<none>
1370,https://img.dapperdinos.com/dinos/FxusFyIa2fItG66.png,OG,5,5,6,Spiffy Blue,Charcoal,Toothy Smile,<none>,Happy,Turtleneck,Chain
1371,https://img.dapperdinos.com/dinos/Ko1axR89zX6uvKd.png,OG,5,5,7,Nifty Yellow,Green,Two Tooth,Brain,Happy Lashes,Flannel,3D Glasses
1372,https://img.dapperdinos.com/dinos/tV0IhWgLeknbq7g.png,OG,5,5,7,Snazzy Orange,Teal,Happy,Sombrero,Chill Lashes,Turtleneck,3D Glasses
1373,https://img.dapperdinos.com/dinos/h3OEt5GFmNznvgc.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Captain,Allergies,Hoodie Yellow,<none>
1374,https://img.dapperdinos.com/dinos/yjLMhNJhBD7PsW5.png,OG,5,5,6,Dapper Cyan,Teal,Happy,Cowboy Hat,Chill Lashes,Varsity Jacket,<none>
1375,https://img.dapperdinos.com/dinos/ApVfMIP3YY0o4W6.png,OG,5,5,6,Crisp Green,Blue,Derpy,Tophat,Bliss Lashes,<none>,Chain
1376,https://img.dapperdinos.com/dinos/4w8UFfr4mXxdO7Q.png,OG,5,5,7,Nifty Yellow,Green,Derpy,Bowler Black Emblem,Chill Lashes,Tiedye,Sunglasses White
1377,https://img.dapperdinos.com/dinos/mYMTokZXz086E2L.png,OG,5,5,6,Spiffy Blue,Green Spotted,Derpy,Captain,Happy,Tshirt Stripe,<none>
1378,https://img.dapperdinos.com/dinos/T0sko1RNdgZqHxc.png,OG,5,5,7,Fly Magenta,Green Spotted,Grin,Cap Camo,Allergies,Suit Navy,Eyepatch
1379,https://img.dapperdinos.com/dinos/VD1CUxk2R7RsLa8.png,OG,5,5,6,Spiffy Blue,Green,Two Tooth,Bucket Hat,Mask Chill,Tshirt Camo,<none>
1380,https://img.dapperdinos.com/dinos/j2cunoeHx8d5PlD.png,OG,5,5,7,Dapper Cyan,Green,Happy,Wizard Hat,Mask Happy,Turtleneck,Chain
1381,https://img.dapperdinos.com/dinos/F0zhwl7j4yb8NlF.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Chefs Hat,Cyclops Lashes,Toga,<none>
1382,https://img.dapperdinos.com/dinos/lURRZJbscaCsMgX.png,OG,5,5,6,Snazzy Orange,Yellow,Derpy,Bucket Hat,Hollow,Cyberpunk Jacket,<none>
1383,https://img.dapperdinos.com/dinos/zEpmr8OMYOc3nC8.png,OG,5,5,5,Dapper Cyan,Yellow,Happy,<none>,Happy,Varsity Jacket,<none>
1384,https://img.dapperdinos.com/dinos/6VMirv8wUSYrKPI.png,OG,5,5,6,Dapper Cyan,Green,Tongue,Short Hair Blonde,Chill Lashes,Varsity Jacket,<none>
1385,https://img.dapperdinos.com/dinos/onCVuutYGWZrNtv.png,OG,5,5,7,Spiffy Blue,Yellow,Happy,Bonehead Silver,Chill,Crew Neck Purple,Pearls
1386,https://img.dapperdinos.com/dinos/iNkLNgmhIcOabHW.png,OG,5,5,6,Crisp Green,Green,Derpy,Tophat,Cyclops,<none>,Chain
1387,https://img.dapperdinos.com/dinos/w1nD9B2jEg7LmBH.png,OG,5,5,7,Snazzy Orange,Green Spotted,Tongue,Grey Beanie,Hypno,Tshirt Stripe,Nosehorn
1388,https://img.dapperdinos.com/dinos/sMBbd9YFSt1GOWk.png,OG,5,5,6,Spiffy Blue,Charcoal,Derpy,Dino Helmet Bonehead,Bliss Lashes,Polo Tiger,<none>
1389,https://img.dapperdinos.com/dinos/AlSQfgMHxRS9kky.png,OG,5,5,7,Crisp Green,Grey,Happy,Cap Camo,Cyclops Lashes,Tshirt Camo,Nosehorn Gold
1390,https://img.dapperdinos.com/dinos/Fv7bWIl0ywvJliW.png,OG,5,5,7,Elegant Red,Charcoal Spotted,Unimpressed,Long Hair Brown,Allergies,Cowboy Vest,Pipe
1391,https://img.dapperdinos.com/dinos/StPGn3u5IEQlt64.png,OG,5,5,6,Dapper Cyan,Green,Happy,Halo Shiny,Mask Chill,Pepe Jacket Tshirt,<none>
1392,https://img.dapperdinos.com/dinos/4XTO0J2HdQR8NJJ.png,OG,5,5,6,Dapper Cyan,Green,Happy,Astronaut Helmet Open,Chill,Varsity Jacket,<none>
1393,https://img.dapperdinos.com/dinos/oiwqMdTKG4nKom7.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Cowboy Hat,Hypno,Pepe Jacket,<none>
1394,https://img.dapperdinos.com/dinos/gBgKT4SklXiCITz.png,OG,5,5,6,Snazzy Orange,Yellow,Two Tooth Beard,Donut,Mask Chill,Varsity Jacket,<none>
1395,https://img.dapperdinos.com/karmacollective/K531.png,Karma,5,6,7,Bakeroner Green 3,Charcoal,Happy,Sombrero,Happy,Tiedye,<none>
1396,https://img.dapperdinos.com/dinos/r9Z885UMq3TqKSp.png,OG,5,5,7,Crisp Green,Yellow,Toothy Smile,Soldier,Happy,Suit Navy,Nosehorn
1397,https://img.dapperdinos.com/dinos/ozzhMGw9IgTi5BB.png,OG,5,5,6,Dapper Cyan,Green,Tongue,Fedora,Happy,Polo Tiger,<none>
1398,https://img.dapperdinos.com/dinos/Lw824dIKnmt5onK.png,OG,5,5,6,Dapper Cyan,Blue,Derpy,Cycling Cap,Happy,Pepe Jacket Tshirt,<none>
1399,https://img.dapperdinos.com/dinos/XBpW0nORJVP3D6d.png,OG,5,5,6,Snazzy Orange,Charcoal,Toothy Smile Beard,Rosies Red Bandana,Hypno,Polo Tiger,<none>
1400,https://img.dapperdinos.com/dinos/evg6dTmNOlBHBsy.png,OG,5,5,7,Crisp Green,Blue Spotted,Happy,Tophat,Hypno,Flannel,Sunglasses White
1401,https://img.dapperdinos.com/dinos/AdMpVugC0nxnzGU.png,OG,5,5,6,Elegant Red,Blue Spotted,Two Tooth Beard,King Bonehead,Hypno,Cowboy Vest,<none>
1402,https://img.dapperdinos.com/dinos/VSo5rjA8MEgU3EB.png,OG,5,5,7,Fly Magenta,Yellow,Two Tooth,Cap Neon,Allergies,Turtleneck,Eyepatch
1403,https://img.dapperdinos.com/dinos/GYoI6DFO3yq1QLh.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Happy,Horns Broken,Happy Lashes,Qipao,Nosehorn Gold
1404,https://img.dapperdinos.com/dinos/PxwVq5P3e67F6Oc.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Digger Hat Bonehead,Chill,Suspenders,<none>
1405,https://img.dapperdinos.com/dinos/CS9ExyIM42PTd61.png,OG,5,5,6,Dapper Cyan,Green,Happy,Captain Holo,Chill Lashes,Robe,<none>
1406,https://img.dapperdinos.com/dinos/ON2XWm3CUyuInrm.png,OG,5,5,6,Snazzy Orange,Grey,Toothy Smile,Tophat Bonehead,Cyclops,<none>,Nosehorn
1407,https://img.dapperdinos.com/dinos/oHJpwMFdEbIQaWU.png,OG,5,5,7,Snazzy Orange,Yellow,Unimpressed,Digger Hat,Hollow,Crew Neck Purple,Pipe
1408,https://img.dapperdinos.com/dinos/IfIbZx58sAwPP1q.png,OG,5,5,7,Fly Magenta,Yellow,Grin,Bonehead Silver,Mask Hearts,Polo Pink,Chain
1409,https://img.dapperdinos.com/dinos/VTqMrX9XVldsyTc.png,OG,5,5,7,Crisp Green,Green,Unimpressed,King,Mask Hypno,Suit Navy,Pipe
1410,https://img.dapperdinos.com/dinos/sP92wuTSpMdhPv5.png,OG,5,5,6,Spiffy Blue,Blue,Toothy Smile,Tophat Bonehead,Cyclops Lashes,Cowboy Vest,<none>
1411,https://img.dapperdinos.com/dinos/3K0iwtWTDWx1VJW.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Crown,Cyclops Lashes,Ascot,<none>
1412,https://img.dapperdinos.com/dinos/WhWRsHx7vCy7qgu.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Horns Broken,Mask Chill,Spiked Jacket,<none>
1413,https://img.dapperdinos.com/karmacollective/K68.png,Karma,5,6,8,Bakeroner Yellow 2,Grey,Happy,Cap Red Backwards,Chill Lashes,Ascot,Monocle
1414,https://img.dapperdinos.com/dinos/bJA4QwFJ9PAkC86.png,OG,5,5,6,Dapper Cyan,Green,Happy,Stars,Mask Chill,Tshirt Camo,<none>
1415,https://img.dapperdinos.com/dinos/GzILaCtgPb4VOJT.png,OG,5,5,6,Crisp Green,Charcoal Spotted,Two Tooth,Tophat Bonehead,Happy,Chef,<none>
1416,https://img.dapperdinos.com/dinos/febzbXlftDDaI2Y.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Pirate Hat,Cyclops Lashes,Suit Grey,<none>
1417,https://img.dapperdinos.com/dinos/kJlQKKBrvX5Btxo.png,OG,5,5,6,Dapper Cyan,Grey,Tongue,Bucket Hat,Happy Lashes,Polo Pink,<none>
1418,https://img.dapperdinos.com/dinos/uioIDyg0u5fjiyx.png,OG,5,5,7,Nifty Yellow,Grey,Happy,Bucket Hat,Cyclops,Rosies Denim,Nosehorn
1419,https://img.dapperdinos.com/karmacollective/K404.png,Karma,5,6,8,Bakeroner Yellow 2,Blue,Happy,Short Hair Brown,Chill Lashes,Suit Navy,Monocle
1420,https://img.dapperdinos.com/dinos/ohSO4nc7U2firos.png,OG,5,5,6,Spiffy Blue,Green,Happy,Astronaut Helmet Open,Mask Hearts,Polo Pink,<none>
1421,https://img.dapperdinos.com/dinos/nedeXOtmSxqN4KD.png,OG,5,5,6,Spiffy Blue,Charcoal,Happy,Unicorn Rainbow,Blush,Flannel,<none>
1422,https://img.dapperdinos.com/dinos/fyVZFb14WtsMRSF.png,OG,5,5,6,Spiffy Blue,Blue,Two Tooth,Grey Beanie,Bliss,Suit Grey,<none>
1423,https://img.dapperdinos.com/dinos/jZXUCc0tEVEyviW.png,OG,5,5,6,Crisp Green,Charcoal,Two Tooth,High Top Fade Halo,Hypno,Tiedye,<none>
1424,https://img.dapperdinos.com/karmacollective/K199.png,Karma,5,6,7,Bakeroner Green 1,Green,Grin,Sombrero,Chill,Crew Neck Pink,<none>
1425,https://img.dapperdinos.com/dinos/Cgtpbdy0BBy0zUH.png,OG,5,5,6,Elegant Red,Green Spotted,Two Tooth,Spikes Holo,Cyclops,Chef,<none>
1426,https://img.dapperdinos.com/dinos/bpYOHGozPgj60cP.png,OG,5,5,6,Dapper Cyan,Green,Happy,Astronaut Helmet Open,Cyclops Lashes,Ascot,<none>
1427,https://img.dapperdinos.com/dinos/jG8ZfN8BB58TqUo.png,OG,5,5,6,Spiffy Blue,Yellow,Toothy Smile,Egghead,Hypno,Pepe Jacket,<none>
1428,https://img.dapperdinos.com/dinos/FZKNxZR0Ys9opV6.png,OG,5,5,7,Crisp Green,Blue,Unimpressed,High Top Fade,Mask Happy,Pepe Jacket Tshirt,Pipe
1429,https://img.dapperdinos.com/dinos/RHh9Hj30xvmDPe1.png,OG,5,5,7,Elegant Red,Green Spotted,Grin,Digger Hat,Bliss Lashes,Polo Tiger,3D Glasses
1430,https://img.dapperdinos.com/karmacollective/K166.png,Karma,5,6,8,Bakeroner Yellow 2,Charcoal,Tongue,Fro,Happy Lashes,Polo Pink,Nosehorn
1431,https://img.dapperdinos.com/dinos/N3RfO5EDo8ny2f0.png,OG,5,5,7,Nifty Yellow,Yellow,Tongue,Grey Hair Sweep,Hypno,Tracksuit Spotted,Sunglasses
1432,https://img.dapperdinos.com/dinos/4yHHACheaZT8oNk.png,OG,5,5,6,Spiffy Blue,Green,Derpy,Karate,Bliss Lashes,Suit Dapper Grey,<none>
1433,https://img.dapperdinos.com/dinos/GaeOeKtWpxoSNNo.png,OG,5,5,6,Spiffy Blue,Charcoal,Happy,Spikes Gold,Chill Lashes,Cowboy Vest,<none>
1434,https://img.dapperdinos.com/dinos/fx9QXojpoW0bjwh.png,OG,5,5,6,Nifty Yellow,Green Spotted,Grin,Crown,Hypno,Suit Dapper Blue,<none>
1435,https://img.dapperdinos.com/dinos/ceGnSFlYW98r9yM.png,OG,5,5,6,Nifty Yellow,Yellow Spotted,Two Tooth,Spikes Diamond,Chill Lashes,Suit Grey,<none>
1436,https://img.dapperdinos.com/dinos/jBDv8zeDJbzAHat.png,OG,5,5,6,Spiffy Blue,Green,Tongue,Wizard Hat,Mask Hearts,Hoodie Yellow,<none>
1437,https://img.dapperdinos.com/dinos/KGuE3U03SQQaz1o.png,OG,5,5,6,Fly Magenta,Grey,Two Tooth Beard,Captain Holo,Mask Dead,Tshirt Black,<none>
1438,https://img.dapperdinos.com/dinos/OIN8l7TOlZo99zf.png,OG,5,5,6,Snazzy Orange,Grey Spotted,Tongue,Spikes Diamond,Mask Happy,Polo Tiger,<none>
1439,https://img.dapperdinos.com/dinos/6c635ZeoJ6ddslh.png,OG,5,5,6,Nifty Yellow,Grey,Happy,Karate,Mask Hearts,Suit Dapper Grey,<none>
1440,https://img.dapperdinos.com/dinos/Qdav2oivG8XBPQd.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Happy,Chefs Hat Bonehead,Cyclops,Qipao,<none>
1441,https://img.dapperdinos.com/dinos/d0coL4PBzTVfbdY.png,OG,5,5,7,Crisp Green,Yellow,Tongue,Short Hair Blonde,Mask Happy,Suit Dapper Blue,Nosehorn
1442,https://img.dapperdinos.com/dinos/enet0hroEZKAFZ4.png,OG,5,5,6,Crisp Green,Green Spotted,Two Tooth,Wizard Hat,Hypno,Pepe Jacket Tshirt,<none>
1443,https://img.dapperdinos.com/dinos/1ugxCth2IYHc2kW.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Grey Hair Sweep,Bliss,Grandmas Sweater,<none>
1444,https://img.dapperdinos.com/dinos/24tuEkNNpszHtTn.png,OG,5,5,6,Elegant Red,Grey Spotted,Grin,Spikes Bone,Hollow,Labcoat,<none>
1445,https://img.dapperdinos.com/dinos/pSNgLx2EaXB6pku.png,OG,5,5,7,Nifty Yellow,Grey,Grin,Bowler Black Emblem,Happy Lashes,Scarf,Sunglasses
1446,https://img.dapperdinos.com/dinos/I7hXCrl0E6aQr13.png,OG,5,5,7,Spiffy Blue,Green,Happy,Brain,Bliss,Suit Navy,Sunglasses
1447,https://img.dapperdinos.com/dinos/Rr9JcTua62Jnml2.png,OG,5,5,7,Nifty Yellow,Yellow,Happy,Fro Sparkle,Mask Dead,Tshirt Black,Sunglasses White
1448,https://img.dapperdinos.com/dinos/VHx5QjThjiqvHJa.png,OG,5,5,7,Fly Magenta,Grey,Toothy Smile Beard,Soldier,Mask Happy,Hoodie Yellow,Nosehorn
1449,https://img.dapperdinos.com/karmacollective/K516.png,Karma,5,6,7,Bakeroner Green 1,Teal,Happy,Brain,Mask Chill,Polo Teal,<none>
1450,https://img.dapperdinos.com/dinos/TcU9BJXjHreugFb.png,OG,5,5,6,Dapper Cyan,Charcoal Spotted,Happy,Chefs Hat Bonehead,Chill,Polo Pink,<none>
1451,https://img.dapperdinos.com/dinos/Vw8rPLE7rYnGXSc.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,King,Mask Chill,Suit Dapper Blue,<none>
1452,https://img.dapperdinos.com/dinos/lzIddalHb2cmVA7.png,OG,5,5,5,Nifty Yellow,Yellow Spotted,Happy Beard,Cowboy Hat,Happy,<none>,<none>
1453,https://img.dapperdinos.com/dinos/O1JcIw6kV1g24wh.png,OG,5,5,6,Snazzy Orange,Blue,Two Tooth Beard,High Top Fade Halo,Mask Chill,Ascot,<none>
1454,https://img.dapperdinos.com/dinos/CzYU6autFwi2Wt0.png,OG,5,5,7,Nifty Yellow,Grey Spotted,Unimpressed,Digger Hat Bonehead,Cyclops,Suit Grey,Pipe
1455,https://img.dapperdinos.com/dinos/hD7cIsEOUV99zts.png,OG,5,5,6,Dapper Cyan,Green,Happy,Donut,Chill,Labcoat,<none>
1456,https://img.dapperdinos.com/dinos/tyR7MxQdAs2Wr7p.png,OG,5,5,7,Crisp Green,Blue,Happy,Donut Horns,Bliss Lashes,Suspenders,3D Glasses
1457,https://img.dapperdinos.com/dinos/t8YIBTYkjCs0HLo.png,OG,5,5,6,Crisp Green,Green,Happy Beard,Bucket Hat,Happy,Pepe Jacket,<none>
1458,https://img.dapperdinos.com/dinos/Jh5Gqjqr9YVHl3h.png,OG,5,5,7,Crisp Green,Blue,Happy,Digger Hat,Mask Dead,Polo Pink,Monocle
1459,https://img.dapperdinos.com/dinos/LUX4LtYM7n1DLeT.png,OG,5,5,6,Dapper Cyan,Blue,Happy,High Top Fade Halo,Chill Lashes,Tiedye,<none>
1460,https://img.dapperdinos.com/dinos/GXTzf1EWMkm942x.png,OG,5,5,6,Elegant Red,Blue Spotted,Two Tooth,<none>,Mask Hearts,Varsity Jacket,Nosehorn
1461,https://img.dapperdinos.com/dinos/a7efFqbjYdPR8oF.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Tophat,Happy,Flannel,<none>
1462,https://img.dapperdinos.com/dinos/s0w0uXl568d3oZ8.png,OG,5,5,7,Fly Magenta,Grey Spotted,Two Tooth,Bonehead Silver,Hypno,Pepe Jacket,Sunglasses
1463,https://img.dapperdinos.com/dinos/hnoElDyJjh0ayGW.png,OG,5,5,7,Snazzy Orange,Yellow,Toothy Smile,Horns Broken,Happy,Qipao,Sunglasses
1464,https://img.dapperdinos.com/dinos/gRZ5DnsqQLtOhwo.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Short Hair Brown,Mask Chill,Tracksuit Spotted,<none>
1465,https://img.dapperdinos.com/dinos/6t3qqnNyLNYvGKs.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Happy,Astronaut Helmet Closed,Blush,Crew Neck Pink,<none>
1466,https://img.dapperdinos.com/dinos/XZ4qYDp30CkvMP4.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Cap Neon,Bliss Lashes,Basketball Jersey,<none>
1467,https://img.dapperdinos.com/dinos/ICwtASPe9R2nQjZ.png,OG,5,5,7,Spiffy Blue,Yellow,Unimpressed,Karate,Happy Lashes,Cowboy Vest,Pipe
1468,https://img.dapperdinos.com/dinos/aVY0LCn67qx0SBR.png,OG,5,5,7,Crisp Green,Charcoal,Happy,Short Hair Blonde,Happy Lashes,Pirate,3D Glasses
1469,https://img.dapperdinos.com/dinos/xKH2RkVXR3QC4XN.png,OG,5,5,7,Snazzy Orange,Charcoal,Grin,Bowler Black,Hearts,Tshirt Camo,Monocle
1470,https://img.dapperdinos.com/dinos/Ral9VhpguOQ5mKH.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Bowler Black,Happy,Spiked Jacket,Chain
1471,https://img.dapperdinos.com/dinos/A9s29gMIrrGhwks.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Cycling Cap,Allergies,Suit Dapper Blue,<none>
1472,https://img.dapperdinos.com/dinos/1FpqRG00dpPwUD5.png,OG,5,5,6,Spiffy Blue,Blue,Toothy Smile,King Bonehead,Hearts,Hoodie Grey,<none>
1473,https://img.dapperdinos.com/dinos/ZcvHKDzb5CSVB0u.png,OG,5,5,7,Elegant Red,Grey Spotted,Tongue,Fedora,Hypno,Basketball Jersey,Nosehorn
1474,https://img.dapperdinos.com/dinos/j2b7ie0FPY00MGT.png,OG,5,5,6,Spiffy Blue,Blue,Tongue,Chefs Hat Bonehead,Hollow,Spiked Jacket,<none>
1475,https://img.dapperdinos.com/dinos/X6nDWzRPjWey45W.png,OG,5,5,7,Nifty Yellow,Charcoal,Happy,Long Hair Brown,Bliss Lashes,Cowboy Vest,Nosehorn Gold
1476,https://img.dapperdinos.com/dinos/aW4vIMTdBqPWYjj.png,OG,5,5,7,Crisp Green,Teal,Tongue,Chefs Hat,Happy Lashes,Turtleneck,Chain
1477,https://img.dapperdinos.com/karmacollective/K25.png,Karma,5,6,7,Bakeroner Yellow 1,Charcoal Spotted,Happy,High Top Fade,Mask Chill,Pirate,<none>
1478,https://img.dapperdinos.com/dinos/0zmfL04nVELcVID.png,OG,5,5,7,Elegant Red,Blue Spotted,Tongue,Dino Grabber,Hollow,Labcoat,Sunglasses
1479,https://img.dapperdinos.com/dinos/xw3SDfjMCsJumFM.png,OG,5,5,7,Spiffy Blue,Yellow,Happy,High Top Fade Stars,Allergies,Suit Dapper Blue,Nosehorn
1480,https://img.dapperdinos.com/dinos/4JDrkcc9VykKM1z.png,OG,5,5,7,Snazzy Orange,Grey Spotted,Grin,Jiangshi,Happy Lashes,Scarf,Sunglasses
1481,https://img.dapperdinos.com/dinos/v3TBGTQdcV49qVv.png,OG,5,5,7,Nifty Yellow,Yellow Spotted,Happy,Bowler Black,Hypno,Tiedye,Pearls
1482,https://img.dapperdinos.com/dinos/AXFFNMrNPFk56bJ.png,OG,5,5,7,Fly Magenta,Teal,Derpy,Bucket Hat,Mask Hypno,Suit Grey,Nosehorn Gold
1483,https://img.dapperdinos.com/dinos/fP1iLY35oN6QWkk.png,OG,5,5,7,Snazzy Orange,Teal,Unimpressed,Fro,Cyclops Lashes,Robe,Pipe
1484,https://img.dapperdinos.com/dinos/wl9nLHIxIQKeUa6.png,OG,5,5,6,Crisp Green,Green,Toothy Smile,Dino Helmet Bonehead,Bliss,Qipao,<none>
1485,https://img.dapperdinos.com/dinos/zBYGyUGfd8lTQdH.png,OG,5,5,7,Snazzy Orange,Green Spotted,Tongue,Cycling Cap Bonehead,Mask Happy,Pepe Jacket,Nosehorn
1486,https://img.dapperdinos.com/dinos/hDBICBZapgUdE9P.png,OG,5,5,7,Nifty Yellow,Blue,Two Tooth,Cap Red Backwards,Chill Lashes,Polo Teal,Nosehorn
1487,https://img.dapperdinos.com/dinos/O8zvoWrvWleMAdE.png,OG,5,5,6,Dapper Cyan,Yellow Spotted,Tongue,Tophat,Bliss Lashes,Tshirt Stripe,<none>
1488,https://img.dapperdinos.com/karmacollective/K462.png,Karma,5,6,7,Bakeroner Yellow 3,Grey,Derpy,Donut Horns,Allergies,Suit Dapper Blue,<none>
1489,https://img.dapperdinos.com/dinos/F0mat6SgCDDsvx2.png,OG,5,5,6,Crisp Green,Teal,Happy,Donut,Popped Hearts,Robe,<none>
1490,https://img.dapperdinos.com/dinos/ppwUx4WlSBCFzLd.png,OG,5,5,7,Fly Magenta,Blue,Toothy Smile,Bowler Black,Mask Happy,Tshirt Trex Grey,Monocle
1491,https://img.dapperdinos.com/dinos/wBbPLvzhQu5gwcx.png,OG,5,5,7,Crisp Green,Charcoal,Happy,Grey Beanie,Bliss Lashes,Suit Navy,Nosehorn
1492,https://img.dapperdinos.com/dinos/ZFxw2ELZklJZaWp.png,OG,5,5,7,Elegant Red,Grey,Tongue,Tophat Bonehead,Bliss,Grandmas Sweater,Nosehorn
1493,https://img.dapperdinos.com/dinos/dlWas9Q1trAf6A2.png,OG,5,5,7,Nifty Yellow,Green Spotted,Unimpressed,Cowboy Hat,Mask Happy,Polo Pink,Wheat
1494,https://img.dapperdinos.com/dinos/wFMEZCdb6z0Dlgj.png,OG,5,5,5,Dapper Cyan,Blue,Happy,<none>,Happy Lashes,Basketball Jersey,<none>
1495,https://img.dapperdinos.com/dinos/6CCF7V92MXEXWTr.png,OG,5,5,6,Fly Magenta,Bubblegum,Happy,Halo Shiny,Blush,Varsity Jacket,<none>
1496,https://img.dapperdinos.com/dinos/ndejKXe88MkvhtN.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Bucket Hat,Bliss Lashes,Hoodie Grey,<none>
1497,https://img.dapperdinos.com/dinos/X5JoOQXIBaX1lqe.png,OG,5,5,6,Crisp Green,Yellow Spotted,Tongue,King,Popped Hearts,Polo Teal,<none>
1498,https://img.dapperdinos.com/dinos/CHgQtgrLJFUCNGS.png,OG,5,5,7,Snazzy Orange,Yellow,Tongue,Crown,Cyclops Lashes,Suit Grey,Nosehorn Gold
1499,https://img.dapperdinos.com/dinos/FdGKcpgjmmEmVBx.png,OG,5,5,6,Nifty Yellow,Green,Unimpressed,Cap Red Backwards,Mask Hearts,Polo Pink,<none>
1500,https://img.dapperdinos.com/dinos/AuinbVnogikRh9N.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Toothy Smile,Chefs Hat Bonehead,Happy Lashes,Ascot,<none>
1501,https://img.dapperdinos.com/dinos/QcXpAmv2G4SH3GP.png,OG,5,5,7,Crisp Green,Blue Spotted,Happy,Short Hair Blonde,Cyclops,Tshirt Stripe,Nosehorn
1502,https://img.dapperdinos.com/dinos/Gv0ZGIyAHf4So6P.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Brain,Laser,Tshirt Black,<none>
1503,https://img.dapperdinos.com/dinos/n8u3ky49cDXHcgA.png,OG,5,5,6,Spiffy Blue,Charcoal,Toothy Smile,Cap Neon,Blush,Cowboy Vest,<none>
1504,https://img.dapperdinos.com/dinos/099LKDpxHzOPcXe.png,OG,5,5,6,Nifty Yellow,Teal,Happy,Halo Shiny,Mask Dead,Pirate,<none>
