Dino Number,Shield,Strength,Health,Attack,Speed,Brain
2156,57,55,47,49,56,46
2157,59,56,57,66,46,60
2158,51,67,57,57,44,57
2159,55,63,57,55,58,46
2160,53,64,48,51,69,48
2161,58,63,58,78,50,42
2162,50,54,57,66,66,68
2163,60,57,55,62,59,39
2164,58,45,44,66,63,45
2165,51,77,45,67,52,42
2166,58,57,60,54,53,64
2167,58,46,60,53,62,49
2168,57,56,62,53,56,39
2169,55,71,51,65,63,49
2170,54,51,53,69,58,55
2171,53,51,50,70,49,63
2172,51,67,62,66,60,62
2173,54,65,66,62,61,52
2174,54,44,51,54,52,51
2175,56,55,55,60,61,61
2176,50,72,49,58,63,39
2177,57,54,65,56,60,50
2178,51,61,55,59,56,61
2179,66,54,47,60,48,51
2180,64,58,47,54,53,44
2181,65,42,48,54,55,45
2182,65,39,50,58,57,55
2183,55,42,59,65,53,42
2184,57,57,52,66,53,60
2185,52,41,58,59,50,58
2186,58,70,60,59,53,46
2187,65,53,50,59,47,65
2188,59,65,51,52,62,62
2189,56,53,47,60,50,47
2190,51,64,65,70,45,63
2191,59,53,68,55,56,65
2192,58,58,54,59,58,59
2193,61,56,58,74,48,45
2194,65,55,61,52,55,43
2195,72,59,50,67,51,53
2196,52,61,51,59,45,64
2197,60,46,47,56,46,58
2198,71,62,58,58,50,44
2199,50,62,56,56,51,64
2200,54,68,54,45,49,48
2201,72,59,59,54,53,66
2202,50,56,55,53,52,48
2203,66,52,64,65,54,61
2204,57,48,53,51,58,51
2205,50,49,54,61,51,54
2206,62,59,54,71,45,53
2207,57,50,70,56,53,64
2208,58,61,65,69,57,59
2209,49,50,59,59,62,60
2210,65,71,72,55,81,78
2211,52,59,64,59,67,56
2212,53,55,47,59,54,39
2213,45,77,63,53,78,78
2214,46,73,56,71,62,41
2215,53,59,52,62,56,40
2216,57,59,66,55,49,79
2217,57,55,46,52,50,53
2218,51,50,49,50,58,61
2219,59,56,48,57,48,41
2220,58,57,50,61,53,56
2221,55,58,68,58,60,62
2222,60,45,57,65,46,74
2223,46,79,68,67,45,58
2224,54,63,65,52,48,67
2225,56,65,51,63,54,51
2226,62,62,63,57,49,77
2227,55,44,48,71,60,44
2228,57,55,77,63,49,66
2229,59,59,46,45,54,42
2230,57,52,58,69,48,52
2231,71,52,64,64,69,57
2232,55,59,54,64,44,45
2233,55,44,68,72,52,59
2234,61,46,54,50,57,55
2235,60,54,56,53,48,51
2236,55,73,51,52,62,44
2237,63,58,60,70,49,42
2238,54,59,57,65,48,63
2239,57,71,50,56,56,41
2240,51,43,63,66,76,75
2241,55,56,55,52,58,62
2242,53,43,59,47,50,62
2243,49,61,49,52,52,43
2244,61,68,54,56,48,56
2245,63,49,59,66,66,54
2246,57,64,57,51,45,54
2247,64,61,59,69,64,42
2248,46,67,48,62,49,46
2249,64,49,55,44,69,47
2250,65,61,50,59,49,45
2251,74,50,58,47,55,45
2252,55,51,76,73,60,57
2253,62,57,68,55,47,60
2254,57,47,53,62,43,59
2255,48,65,44,64,44,47
2256,48,54,48,70,51,42
2257,55,46,54,69,51,46
2258,55,48,55,59,56,43
2259,57,50,59,56,62,49
2260,63,53,46,59,50,44
2261,58,43,50,51,63,45
2262,61,52,66,52,51,51
2263,58,54,51,67,48,54
2264,55,66,60,57,61,63
2265,65,48,59,48,56,56
2266,58,47,53,57,56,65
2267,56,49,57,67,59,59
2268,59,57,48,61,53,42
2269,59,42,54,71,54,62
2270,68,41,71,77,48,52
2271,55,64,52,65,49,48
2272,44,62,47,63,57,48
2273,57,46,62,56,58,44
2274,56,65,51,47,67,56
2275,44,57,49,57,51,58
2276,56,44,59,62,47,62
2277,54,62,50,67,48,44
2278,55,45,65,66,76,52
2279,60,57,65,64,50,63
2280,56,56,52,50,63,45
2281,58,64,48,66,46,40
2282,60,55,59,58,48,64
2283,52,51,53,61,69,46
2284,51,50,69,55,64,75
2285,60,58,65,58,68,52
2286,58,50,46,55,50,47
2287,57,55,58,60,71,51
2288,53,49,56,64,47,79
2289,67,49,69,54,51,59
2290,54,73,59,71,58,53
2291,53,61,51,57,51,60
2292,68,76,62,56,48,61
2293,57,59,67,67,60,71
2294,57,77,66,64,47,58
2295,54,47,46,54,50,63
2296,56,49,64,59,56,41
2297,58,48,53,49,45,60
2298,69,43,65,50,72,66
2299,52,56,51,69,63,45
2300,57,52,48,59,57,46
2301,61,65,65,65,65,45
2302,50,49,63,63,68,60
2303,54,51,49,60,50,45
2304,56,68,50,57,45,44
2305,51,58,48,54,48,55
2306,63,50,76,55,48,57
2307,53,54,53,60,46,56
2308,57,61,59,55,48,57
2309,57,60,49,56,50,45
2310,64,56,70,64,47,59
2311,52,58,54,62,63,56
2312,72,52,53,69,62,52
2313,58,55,51,61,61,44
2314,56,44,48,67,57,44
2315,65,76,69,72,64,55
2316,51,47,61,56,64,45
2317,53,63,65,58,52,56
2318,53,55,53,51,61,44
2319,51,55,56,55,61,59
2320,43,43,49,55,52,44
2321,53,47,50,56,48,46
2322,64,46,54,52,50,50
2323,55,58,53,61,52,43
2324,49,54,52,57,51,47
2325,57,52,68,73,57,50
2326,49,64,56,52,56,52
2327,56,39,70,58,68,58
2328,55,54,52,62,51,64
2329,47,64,45,66,50,46
2330,53,58,59,57,54,55
2331,66,48,52,69,56,51
2332,59,45,50,51,48,50
2333,58,50,52,50,62,52
2334,53,53,52,53,48,63
2335,48,77,52,54,48,42
2336,55,60,60,52,56,60
2337,57,48,44,59,50,50
2338,66,56,54,62,46,57
2339,57,74,49,61,46,41
2340,52,55,59,70,68,54
2341,56,47,49,66,53,59
2342,74,59,57,64,49,47
2343,55,54,58,67,65,55
2344,61,64,50,62,45,71
2345,61,65,53,68,46,61
2346,57,46,50,71,59,40
2347,57,61,50,60,58,52
2348,67,46,58,59,43,51
2349,65,57,61,57,51,57
2350,69,56,51,67,48,42
2351,58,63,63,58,49,56
2352,58,57,66,61,68,53
2353,59,69,43,59,52,44
2354,64,42,61,75,54,64
2355,51,48,52,60,47,57
2356,58,70,48,55,58,42
2357,54,48,52,58,65,60
2358,52,51,51,53,61,53
2359,58,51,58,70,51,43
2360,62,59,70,60,59,62
2361,64,55,54,68,48,52
2362,57,63,54,58,46,62
2363,53,49,55,61,51,60
2364,57,61,63,47,66,51
2365,60,70,60,62,57,44
2366,51,59,55,62,48,56
2367,55,60,55,61,62,53
2368,63,41,55,61,55,40
2369,59,41,60,68,64,43
2370,72,55,64,50,53,58
2371,53,63,69,58,60,59
2372,50,55,43,59,59,40
2373,57,44,46,56,69,45
2374,58,66,53,71,48,47
2375,64,54,58,53,55,61
2376,53,58,53,72,54,39
2377,55,54,74,71,45,61
2378,59,55,53,71,63,36
2379,60,58,43,60,48,46
2380,58,47,57,53,71,46
2381,56,54,61,52,56,58
2382,52,55,52,59,54,58
2383,54,45,60,61,56,54
2384,66,45,57,53,49,60
2385,56,69,55,56,58,61
2386,61,53,59,79,47,53
2387,58,63,49,51,50,48
2388,59,51,54,59,72,55
2389,54,68,50,77,54,48
2390,55,51,49,62,55,51
2391,53,70,58,53,49,42
2392,55,49,55,61,60,53
2393,49,52,75,70,68,43
2394,59,58,52,55,67,50
2395,53,46,52,59,48,48
2396,50,65,62,69,66,52
2397,56,46,48,65,51,43
2398,53,58,61,55,53,61
2399,54,47,65,55,65,79
2400,59,50,52,69,45,64
2401,47,50,51,61,56,47
2402,49,52,61,58,72,51
2403,52,58,45,65,51,44
2404,59,43,46,66,47,58
2405,53,58,54,58,47,44
2406,54,60,46,71,50,39
2407,60,60,52,51,54,57
2408,57,57,47,61,46,43
2409,48,69,42,61,54,41
2410,54,57,57,71,47,56
2411,52,41,52,67,46,55
2412,59,48,52,58,59,59
2413,57,57,46,55,52,47
2414,64,58,59,60,58,62
2415,63,44,46,68,52,42
2416,51,44,55,57,47,63
2417,49,58,56,64,61,46
2418,60,55,56,54,57,42
2419,57,62,51,66,48,48
2420,51,52,47,58,43,57
2421,58,55,63,66,44,64
2422,61,53,56,57,59,75
2423,74,46,60,70,54,52
2424,57,50,50,64,48,45
2425,55,51,46,66,57,55
2426,54,43,53,54,55,50
2427,57,48,43,62,44,45
2428,47,51,59,54,53,58
2429,59,62,54,55,47,64
2430,61,43,66,63,61,78
2431,53,42,51,65,48,83
2432,63,66,53,57,63,46
2433,56,51,46,61,52,58
2434,56,50,50,57,47,57
2435,55,68,46,54,45,45
2436,61,49,52,54,68,47
2437,61,47,58,56,51,48
2438,48,40,57,46,65,47
2439,55,61,50,65,65,54
2440,53,48,53,58,55,39
2441,62,76,65,63,66,58
2442,58,66,69,55,59,53
2443,55,52,69,58,48,60
2444,63,55,63,62,54,59
2445,64,58,66,58,54,58
2446,51,52,43,56,71,47
2447,53,49,49,61,65,53
2448,53,66,56,57,46,42
2449,66,52,56,61,56,42
2450,59,51,59,53,49,57
2451,52,61,48,55,46,46
2452,65,50,55,68,54,51
2453,52,72,53,43,55,46
2454,52,44,49,46,46,50
2455,57,50,49,61,46,62
2456,51,53,49,60,64,48
2457,46,58,48,57,50,46
2458,57,61,53,68,58,43
2459,56,48,69,63,56,64
2460,70,54,64,60,45,72
2461,60,58,47,58,50,38
2462,54,56,49,69,46,40
2463,69,62,58,63,55,54
2464,54,52,67,53,63,62
2465,50,50,52,55,57,57
2466,50,50,53,57,48,46
2467,63,53,50,46,48,73
2468,53,56,45,61,51,55
2469,70,59,47,57,55,38
2470,60,65,51,64,65,52
2471,52,48,49,68,69,63
2472,64,50,54,68,50,53
2473,56,50,52,56,58,55
2474,60,53,49,56,46,58
2475,50,57,46,61,63,43
2476,49,54,60,58,57,58
2477,55,60,48,64,50,62
2478,55,50,62,66,66,44
2479,69,49,70,60,53,62
2480,58,57,48,51,50,57
2481,55,60,51,67,48,60
2482,64,50,46,68,48,45
2483,56,61,66,58,63,73
2484,60,55,66,63,51,61
2485,56,52,51,55,51,44
2486,52,53,60,55,66,56
2487,53,47,48,59,52,52
2488,57,60,51,71,54,60
2489,58,69,45,66,54,51
2490,58,51,45,60,48,44
2491,52,66,51,60,48,44
2492,59,48,52,59,49,63
2493,45,55,53,61,66,63
2494,56,44,62,69,61,42
2495,52,67,53,59,58,56
2496,59,61,54,61,46,47
2497,56,53,77,60,49,42
2498,56,56,62,56,52,61
2499,59,61,49,62,65,40
2500,54,45,56,65,48,49
2501,60,65,61,64,61,47
2502,71,51,48,54,52,51
2503,67,56,59,59,57,60
2504,55,51,52,60,54,50
2505,54,67,69,60,58,61
2506,64,54,61,67,48,42
2507,55,54,55,66,63,62
2508,54,60,54,60,54,54
2509,50,54,55,65,47,54
2510,61,60,49,55,57,46
2511,58,44,54,62,47,79
2512,58,52,46,63,46,46
2513,60,59,51,61,50,59
2514,55,67,45,59,49,54
2515,55,68,67,66,50,58
2516,54,48,64,49,66,61
2517,64,65,52,60,57,45
2518,62,57,68,52,51,43
2519,63,50,67,63,64,49
2520,59,57,58,67,48,58
2521,63,48,51,59,44,55
2522,59,53,61,55,56,59
2523,68,48,69,57,58,55
2524,64,45,58,48,50,60
2525,51,61,53,57,52,59
2526,60,49,71,67,80,44
2527,61,55,53,61,54,55
2528,55,61,63,60,59,41
2529,49,59,46,68,54,52
2530,50,63,54,64,54,43
2531,65,56,54,72,63,40
2532,57,47,82,67,47,61
2533,59,46,65,55,54,78
2534,48,42,52,59,49,47
2535,65,59,63,58,64,71
2536,53,42,49,53,63,44
2537,52,46,53,58,53,56
2538,64,48,50,65,51,53
2539,55,59,52,48,56,48
2540,55,60,46,66,59,41
2541,59,58,42,54,49,42
2542,55,47,51,59,45,49
2543,54,67,48,57,61,46
2544,54,53,56,67,54,50
2545,58,51,61,64,48,67
2546,49,53,63,67,60,64
2547,55,60,52,60,53,57
2548,54,49,52,59,46,55
2549,57,42,71,54,60,65
2550,55,50,46,57,53,55
2551,60,55,50,53,46,63
2552,65,57,58,67,63,47
2553,50,48,60,61,52,55
2554,64,42,51,59,52,52
2555,56,54,48,63,62,46
2556,65,59,63,67,45,45
2557,63,54,58,51,60,58
2558,56,43,54,56,47,55
2559,54,52,47,59,54,56
2560,55,73,53,57,54,59
2561,57,70,57,65,49,78
2562,50,53,65,62,72,82
2563,67,60,65,67,56,55
2564,57,57,58,75,60,58
2565,59,42,49,58,56,46
2566,68,52,51,61,41,62
2567,55,54,53,63,65,55
2568,61,57,44,53,55,44
2569,54,55,54,54,49,49
2570,47,44,48,49,54,60
2571,45,42,53,48,55,44
2572,59,59,54,60,50,59
2573,55,47,52,70,46,43
2574,64,43,53,58,50,44
2575,54,51,51,54,44,46
2576,48,57,54,67,62,51
2577,65,65,45,65,48,43
2578,57,39,55,65,69,54
2579,71,53,51,64,47,49
2580,66,71,65,56,65,46
2581,57,62,48,67,51,50
2582,54,58,61,63,62,47
2583,53,54,52,48,54,45
2584,56,54,52,53,67,42
2585,58,59,47,47,48,41
2586,52,48,46,60,60,44
2587,66,64,56,62,51,37
2588,56,57,50,56,48,48
2589,55,49,63,68,57,63
2590,69,49,47,48,49,43
2591,50,46,56,66,65,42
2592,55,55,58,55,52,57
2593,50,59,45,59,70,48
2594,54,77,51,59,56,54
2595,71,51,66,65,66,59
2596,70,50,51,62,61,40
2597,56,50,60,53,47,61
2598,49,61,49,56,50,50
2599,56,79,45,72,50,48
2600,59,67,56,63,60,43
2601,54,40,51,59,44,47
2602,61,58,52,63,46,45
2603,53,47,54,61,59,52
2604,57,55,71,66,50,60
2605,61,64,45,67,47,45
2606,64,60,51,52,62,44
2607,54,60,50,58,64,58
2608,62,64,51,50,52,40
2609,60,57,52,63,70,44
2610,66,46,53,69,47,42
2611,48,44,52,68,64,55
2612,57,63,55,61,61,44
2613,68,70,63,70,50,54
2614,55,61,45,57,55,40
2615,57,50,54,65,56,46
2616,67,57,53,56,45,56
2617,72,65,59,60,50,54
2618,60,45,63,55,46,68
2619,60,54,48,64,52,41
2620,60,61,52,58,63,44
2621,70,62,56,74,55,44
2622,59,62,50,68,54,61
2623,54,63,46,65,52,43
2624,50,58,64,66,66,61
2625,54,62,56,50,59,59
2626,61,53,53,55,66,52
2627,70,57,55,67,64,42
2628,54,59,55,63,48,48
2629,54,51,66,61,54,63
2630,48,46,64,73,48,59
2631,57,55,48,56,55,42
2632,61,55,56,59,60,55
2633,71,51,69,70,56,48
2634,50,67,57,66,54,39
2635,71,56,56,65,47,43
2636,61,56,58,46,53,59
2637,61,48,53,55,49,44
2638,58,56,48,58,46,42
2639,68,54,45,62,51,44
2640,56,59,51,59,48,60
2641,57,83,51,58,50,40
2642,61,43,51,59,54,56
2643,57,59,52,57,68,58
2644,59,52,46,49,47,61
2645,52,49,43,59,57,43
2646,68,55,58,65,47,53
2647,59,50,61,63,58,52
2648,53,62,57,57,51,46
2649,46,47,53,51,50,42
2650,53,56,47,55,64,46
2651,56,62,48,58,50,49
2652,53,51,46,48,52,50
2653,54,70,54,63,51,54
2654,56,42,45,79,54,39
2655,56,44,56,51,62,38
2656,61,63,53,56,63,42
2657,56,50,48,54,45,46
2658,48,48,54,60,52,46
2659,60,59,62,54,45,55
2660,60,56,57,53,64,43
2661,55,46,48,53,56,56
2662,71,67,70,68,55,53
2663,60,53,59,60,66,50
2664,56,43,57,73,50,46
2665,57,45,55,62,67,43
2666,52,64,68,71,49,62
2667,58,49,55,67,48,41
2668,57,58,50,67,54,58
2669,50,45,54,52,47,44
2670,53,75,53,56,52,67
2671,64,60,57,45,49,61
2672,44,71,64,70,59,41
2673,59,56,45,56,46,56
2674,58,67,47,67,45,40
2675,62,66,51,58,68,44
2676,46,46,55,59,48,52
2677,65,46,63,65,48,52
2678,54,73,49,57,48,56
2679,61,58,47,66,59,53
2680,54,51,70,61,58,81
2681,55,41,55,74,51,44
2682,51,54,51,63,51,60
2683,62,56,51,54,53,44
2684,53,57,48,55,74,53
2685,56,65,61,65,53,41
2686,49,60,62,54,66,54
2687,51,53,54,63,65,49
2688,56,44,49,62,62,44
2689,57,55,62,53,72,39
2690,54,75,50,64,43,46
2691,53,48,58,55,60,44
2692,54,58,58,56,48,64
2693,46,46,50,54,48,45
2694,68,56,51,64,65,44
2695,57,48,51,67,52,39
2696,50,67,54,64,58,45
2697,58,53,62,69,56,43
2698,49,67,66,60,58,58
2699,59,63,68,57,72,57
2700,58,54,48,70,58,43
2701,52,46,47,63,53,44
2702,65,48,69,61,62,51
2703,50,45,54,53,55,43
2704,72,49,46,60,50,42
2705,55,62,54,59,52,55
2706,57,52,55,60,46,41
2707,73,78,70,62,77,79
2708,59,58,67,60,58,56
2709,53,63,47,62,47,47
2710,54,59,53,54,59,49
2711,51,61,44,54,67,49
2712,64,66,76,59,69,58
2713,60,57,53,59,69,42
2714,62,61,48,62,55,49
2715,58,61,56,50,46,51
2716,54,61,57,61,54,54
2717,57,57,61,70,48,56
2718,54,57,45,61,53,54
2719,52,50,47,65,61,58
2720,65,56,69,58,50,57
2721,64,47,64,57,68,60
2722,61,54,56,63,51,59
2723,57,55,53,59,53,47
2724,45,72,83,54,73,83
2725,58,59,50,44,66,40
2726,56,65,49,59,53,46
2727,48,51,59,57,63,63
2728,46,61,55,55,53,41
2729,54,64,53,58,54,56
2730,54,51,50,68,60,48
2731,55,51,47,53,52,55
2732,56,58,52,61,61,54
2733,61,42,69,54,60,62
2734,61,60,46,48,50,61
2735,53,50,55,55,68,59
2736,62,53,51,56,47,58
2737,50,60,59,55,62,56
2738,57,72,58,49,47,67
2739,57,56,55,45,47,60
2740,53,60,52,57,50,62
2741,57,52,54,59,51,48
2742,47,77,55,59,57,60
2743,58,63,51,66,45,46
2744,54,60,56,50,49,45
2745,58,61,43,60,53,45
2746,56,53,56,64,69,45
2747,58,51,49,67,50,43
2748,67,46,55,61,49,65
2749,58,55,63,67,62,38
2750,62,53,49,59,50,47
2751,55,69,50,62,62,56
2752,57,54,52,52,56,43
2753,59,50,55,67,54,43
2754,68,62,50,61,49,56
2755,58,47,47,61,48,51
2756,50,52,53,57,58,46
2757,53,67,49,60,43,44
2758,52,71,48,58,47,45
2759,54,41,46,66,57,37
2760,59,44,49,58,59,50
2761,58,67,66,55,52,58
2762,56,45,50,65,55,63
2763,60,55,46,63,49,44
2764,63,46,62,64,52,56
2765,57,54,49,56,53,64
2766,60,54,60,65,54,55
2767,67,45,69,67,57,62
2768,55,51,59,55,62,59
2769,58,55,65,59,63,59
2770,52,53,51,54,53,46
2771,63,46,52,60,44,64
2772,50,63,49,45,49,57
2773,50,65,42,66,44,47
2774,52,52,53,79,59,49
2775,57,53,59,64,65,41
2776,52,55,58,57,46,58
2777,69,43,60,58,69,58
2778,65,67,53,60,53,58
2779,70,50,69,61,49,70
2780,55,64,66,62,51,59
2781,53,44,54,57,69,61
2782,54,64,66,73,52,64
2783,53,73,59,65,65,40
2784,68,60,45,49,50,40
2785,52,60,70,60,55,71
2786,53,61,60,47,51,64
2787,55,58,62,70,54,71
2788,56,41,56,68,62,43
2789,66,55,55,59,54,56
2790,51,47,53,64,60,55
2791,63,49,59,59,50,58
2792,67,58,62,57,49,59
2793,57,57,73,71,56,58
2794,56,64,54,50,49,43
2795,64,60,60,56,63,44
2796,55,63,57,54,60,64
2797,55,45,55,58,56,62
2798,58,53,44,67,49,43
2799,53,43,52,71,51,58
2800,56,51,64,61,53,56
2801,64,56,49,57,50,45
2802,54,57,54,56,48,66
2803,56,62,51,66,51,58
2804,49,56,54,70,48,56
2805,51,55,48,48,51,62
2806,49,64,53,53,46,43
2807,59,57,47,68,47,43
2808,53,57,48,60,51,62
2809,56,46,51,68,49,47
2810,53,57,67,73,65,47
2811,55,47,53,53,69,61
2812,60,62,52,64,47,56
2813,58,64,63,67,52,41
2814,57,47,85,67,48,55
2815,52,70,53,52,62,42
2816,56,75,56,67,57,54
2817,46,43,51,54,61,53
2818,51,57,70,66,59,56
2819,57,56,54,59,52,45
2820,60,62,58,61,59,39
2821,49,67,60,61,47,58
2822,75,43,60,61,59,44
2823,59,54,57,62,64,46
2824,56,53,47,54,57,49
2825,53,43,54,69,66,54
2826,49,58,50,60,49,47
2827,52,56,53,56,53,46
2828,62,63,56,61,52,56
2829,53,44,43,71,53,44
2830,70,47,55,69,55,49
2831,56,42,52,61,70,43
2832,59,60,51,43,61,38
2833,57,46,58,57,52,75
2834,58,49,49,73,59,50
2835,51,49,57,68,53,42
2836,55,52,53,54,55,56
2837,56,57,46,48,67,47
2838,63,58,58,50,55,63
2839,65,43,49,64,50,59
2840,59,57,54,56,49,61
2841,53,63,59,45,66,50
2842,65,53,59,66,47,49
2843,54,59,44,64,46,52
2844,55,47,53,58,56,38
2845,71,68,56,58,57,57
2846,56,65,50,63,47,60
2847,58,72,48,60,51,57
2848,72,42,53,54,53,44
2849,54,51,51,61,54,58
2850,46,47,51,56,58,45
2851,69,57,65,58,52,61
2852,58,45,45,63,61,45
2853,69,46,51,78,64,46
2854,68,61,59,48,58,49
2855,55,47,49,53,53,51
2856,54,75,56,49,46,44
2857,54,55,58,64,57,45
2858,60,51,52,62,67,60
2859,64,45,66,75,51,59
2860,58,52,54,60,68,69
2861,57,72,50,51,52,40
2862,52,65,42,62,50,47
2863,75,44,46,64,63,46
2864,54,62,54,65,54,64
2865,48,63,55,60,56,53
2866,65,53,58,51,55,58
2867,58,56,45,56,49,61
2868,56,52,53,65,48,52
2869,61,56,55,57,55,60
2870,66,45,53,50,65,55
2871,53,63,54,63,53,56
2872,53,53,56,60,48,59
2873,53,57,65,66,51,60
2874,53,57,60,73,46,54
2875,50,50,57,58,68,44
2876,56,49,55,63,73,62
2877,67,46,62,75,50,54
2878,49,59,55,68,66,42
2879,59,52,61,56,70,63
2880,59,42,54,51,59,50
2881,58,63,60,48,52,62
2882,65,58,66,57,60,60
2883,37,46,57,63,53,55
2884,55,44,53,49,65,58
2885,55,51,50,62,53,58
2886,60,54,53,62,57,60
2887,47,46,48,70,51,46
2888,56,53,60,63,64,63
2889,60,40,51,64,66,62
2890,58,45,46,66,52,49
2891,57,55,65,63,46,58
2892,54,51,51,51,49,44
2893,50,51,73,76,53,65
2894,56,55,60,55,73,58
2895,65,46,53,62,66,46
2896,59,59,71,62,59,74
2897,55,44,53,59,47,64
2898,43,58,69,60,60,63
2899,57,60,66,49,60,49
2900,55,49,58,55,48,59
2901,60,60,46,64,47,42
2902,55,50,54,52,49,50
2903,49,44,48,49,59,60
2904,57,56,49,66,50,46
2905,60,46,53,64,50,60
2906,48,77,56,56,56,60
2907,61,57,57,48,61,63
2908,58,53,73,56,61,62
2909,54,63,45,59,50,53
2910,58,48,57,64,54,56
2911,52,61,61,48,55,44
2912,61,49,52,56,52,57
2913,61,59,49,61,48,44
2914,66,71,53,64,47,43
2915,59,60,60,66,47,68
2916,57,50,51,49,55,48
2917,60,53,77,57,54,41
2918,56,44,49,66,49,45
2919,53,46,53,55,70,55
2920,50,50,68,53,78,60
2921,59,72,46,66,56,47
2922,63,57,56,56,66,52
2923,52,60,48,50,51,65
2924,53,48,53,61,46,59
2925,57,56,53,52,49,42
2926,54,61,67,64,52,49
2927,55,42,56,47,50,59
2928,44,57,52,68,53,43
2929,57,52,53,69,78,49
2930,56,46,53,58,44,41
2931,62,48,55,53,66,42
2932,59,51,48,68,52,50
2933,59,42,51,60,54,50
2934,62,52,62,61,61,56
2935,60,59,50,68,42,45
2936,53,55,54,61,58,53
2937,60,56,52,57,56,46
2938,56,62,52,62,52,59
2939,50,59,54,71,69,42
2940,65,57,55,58,47,53
2941,57,54,51,65,50,43
2942,66,66,67,58,68,50
2943,75,48,54,64,55,64
2944,48,62,59,69,50,56
2945,60,64,70,49,64,55
2946,55,47,46,61,49,52
2947,56,40,67,62,65,79
2948,62,62,61,62,69,59
2949,51,56,47,67,46,50
2950,60,52,55,57,52,50
2951,53,58,51,49,57,62
2952,57,55,65,61,56,58
2953,58,55,52,49,44,49
2954,53,61,58,60,52,51
2955,55,47,55,69,49,61
2956,47,60,46,57,52,57
2957,50,51,59,67,63,62
2958,53,52,45,61,62,46
2959,40,43,54,58,53,48
2960,48,49,80,53,48,52
2961,54,65,55,59,45,40
2962,52,53,70,65,49,75
2963,54,59,56,54,62,54
2964,59,53,48,56,63,51
2965,62,69,49,63,51,61
2966,66,54,50,63,45,43
2967,64,56,68,72,46,62
2968,57,43,50,56,56,53
2969,45,74,68,66,75,79
2970,55,43,49,60,54,58
2971,59,54,69,71,61,57
2972,55,62,67,63,65,60
2973,63,53,49,62,46,43
2974,62,53,70,66,46,56
2975,57,55,56,67,48,42
2976,62,43,51,59,63,43
2977,55,43,48,51,66,60
2978,55,45,50,62,62,65
2979,61,54,55,71,47,54
2980,51,43,55,66,68,60
2981,60,52,74,63,44,43
2982,56,62,53,53,51,59
2983,58,54,57,58,59,57
2984,50,43,50,59,50,59
2985,55,48,71,68,64,66
2986,58,56,45,60,47,41
2987,54,46,51,55,54,50
2988,49,56,51,53,54,46
2989,55,50,49,54,55,47
2990,56,55,52,57,48,50
2991,58,57,68,65,49,75
2992,75,55,58,59,48,60
2993,59,51,55,67,50,41
2994,58,59,52,58,67,44
2995,52,59,60,60,50,54
2996,59,63,65,67,58,50
2997,60,41,60,58,55,60
2998,52,43,45,59,49,61
2999,62,63,48,63,46,55
3000,54,51,60,69,65,58
3001,56,54,67,71,50,64
3002,51,48,54,48,49,62
3003,54,49,61,67,58,73
3004,60,52,52,53,52,48
3005,55,66,53,53,48,42
3006,53,44,57,68,54,79
3007,49,61,50,56,66,40
3008,52,49,58,63,69,41
3009,62,69,59,57,42,40
3010,57,60,53,73,48,42
3011,58,45,48,62,49,40
3012,52,47,47,53,49,64
3013,51,44,64,68,67,64
3014,55,53,55,54,58,51
3015,52,63,60,61,65,45
3016,60,66,60,58,44,75
3017,52,64,68,70,55,57
3018,60,53,62,62,45,60
3019,79,65,67,64,59,59
3020,46,61,52,60,50,43
3021,53,54,53,61,59,58
3022,52,55,51,69,57,42
3023,61,63,49,56,50,42
3024,65,55,54,66,52,47
3025,58,54,50,54,51,44
3026,55,48,48,49,48,55
3027,57,43,52,59,52,62
3028,57,44,44,63,52,48
3029,62,45,61,58,68,42
3030,56,57,50,59,42,55
3031,60,54,58,45,55,40
3032,62,47,51,58,48,49
3033,46,52,52,53,49,45
3034,60,54,58,71,52,65
3035,65,62,69,72,53,53
3036,67,51,67,59,61,52
3037,49,60,76,52,53,42
3038,62,49,66,64,60,62
3039,66,44,56,64,44,40
3040,47,67,49,64,46,48
3041,56,51,58,57,55,53
3042,61,55,54,60,49,45
3043,50,55,54,50,55,56
3044,55,45,52,51,59,44
3045,53,37,51,68,48,46
3046,53,56,46,61,50,45
3047,39,74,46,64,52,52
3048,58,51,51,68,50,42
3049,67,76,72,60,53,60
3050,45,47,46,64,53,48
3051,51,59,51,56,51,59
3052,63,58,49,68,48,45
3053,54,44,50,59,50,54
3054,55,46,45,64,56,41
3055,54,43,49,53,54,62
3056,56,43,58,61,51,60
3057,59,52,58,58,62,43
3058,45,53,55,69,56,62
3059,62,46,54,53,68,53
3060,66,53,51,66,64,38
3061,58,44,68,73,56,56
3062,57,58,58,52,47,60
3063,57,52,48,54,46,45
3064,55,69,64,62,56,59
3065,55,46,51,60,65,45
3066,65,41,52,60,51,57
3067,55,55,48,52,50,46
3068,61,64,45,55,59,45
3069,47,49,46,58,49,68
3070,50,54,63,56,50,66
3071,56,67,55,69,50,60
3072,69,53,59,64,64,43
3073,53,57,58,59,50,45
3074,46,46,71,69,72,58
3075,55,55,53,51,61,62
3076,57,56,47,58,49,42
3077,52,72,60,63,49,47
3078,54,45,50,72,52,45
3079,76,61,60,71,46,55
3080,63,64,58,65,48,56
3081,57,63,65,59,54,49
3082,44,58,61,70,54,55
3083,55,41,55,68,51,58
3084,54,57,59,60,62,40
3085,53,45,45,67,66,42
3086,50,71,60,67,70,78
